zaman,ivme_x,ivme_y,ivme_z,etiket
1777036009.1066523,-0.11,-0.10,0.00,1
1777036009.1274245,0.29,0.02,-0.10,1
1777036009.1495476,0.55,0.20,0.14,1
1777036009.1734233,-0.16,0.27,-0.02,1
1777036009.1932075,-0.33,0.14,-0.08,1
1777036009.2133422,0.37,0.05,0.05,1
1777036009.2347372,0.33,0.07,-0.06,1
1777036009.2554867,-0.17,0.22,-0.08,1
1777036009.2757673,-0.54,0.03,0.00,1
1777036009.297895,-0.67,-0.18,-0.03,1
1777036009.3189619,0.20,-0.29,-0.17,1
1777036009.3406587,0.78,-0.17,-0.12,1
1777036009.3612335,0.03,0.00,-0.15,1
1777036009.387719,-0.44,0.16,-0.17,1
1777036009.4458606,-0.69,0.24,-0.03,1
1777036009.462571,-0.15,0.03,0.00,1
1777036009.4646435,0.53,-0.04,0.00,1
1777036009.4805918,0.34,-0.11,-0.06,1
1777036009.491048,-0.13,0.02,-0.06,1
1777036009.511518,-0.44,0.30,0.12,1
1777036009.5328815,-0.07,0.07,-0.02,1
1777036009.5537248,0.24,-0.09,-0.12,1
1777036009.5742047,-0.12,-0.11,-0.14,1
1777036009.595315,-0.32,0.03,-0.12,1
1777036009.6160276,-0.31,0.01,-0.09,1
1777036009.636546,-0.13,0.00,-0.12,1
1777036009.6576402,-0.15,-0.01,-0.05,1
1777036009.679021,-0.19,0.08,0.00,1
1777036009.7009528,-0.13,0.02,0.07,1
